Question,Answer1,Answer2,Answer3,Answer4,Feedback,LevelID,questionID
"Ideally initiated during the prodromal stage to reduce lesion severity and duration.
Continuous suppressive therapy is reserved for patients with frequent, severe, or complicated recurrences (e.g., large lesions, erythema multiforme, or post–dental procedure reactivation)
not as routine management.
Once the vesicular lesions have started to crust over, the risk of viral transmission is minimal, and the patient can resume activities such as sharing utensils and kissing without concern.",0True,1False,0-,0-,"Although infectivity decreases as lesions progress toward healing, HSV transmission can still occur, including during asymptomatic viral shedding.",2,5
"Viral shedding may persist before, during, and after visible lesions, meaning patients should avoid close contact activities...
...(such as kissing or sharing utensils) until lesions have fully resolved to reduce transmission risk.
I appreciate your help. Do you know what the diagnosis would be for me? What medication would you suggest?",1Absolutely!,1I'm pretty sure I know,1I'm not quite sure...,1I have no idea.,,2,6
"Hello, I am Bob, I am a 52 year old male!
The inside of my mouth burns. Please help me out!
What is the etiology of this condition?",0Bacterial infection,1Fungal infection,0Viral infection,0Vitamin B12 deficiency,"The patient’s history of recent long-term broad-spectrum antibiotic use, xerostomia, and wipeable white pseudomembranous plaques is classic for oral candidiasis...
...most commonly caused by Candida albicans.",3,1
"Antibiotics disrupt normal oral flora, allowing opportunistic fungal overgrowth.
What is the most appropriate initial management strategy for this patient's condition?",0Rx: Nystatin oint; Disp: 15 g tube; Sig: Apply a thin coat to the affected area after meals and at bedtime,"1Rx: Nystatin oral suspension 100,000 U/mL; Disp : 300 mL; Sig: Swish with 1 tsp four times daily for 2 3 min. by the clock and expectorate for 14 days. NPO 30 min. after.","0Rx: Fluconazole 100 mg; Disp: 15 tabs; Sig:Take 2 tabs on day 1, then 1 tab daily for 14 days",0Rx: Clotrimazole (Mycelex) troches 10 mg; Disp : 70 troches; Sig : Let one troche dissolve in mouth five times daily for 14 days. Do not chew. NPO 30 minutes after.,"For uncomplicated pseudomembranous oral candidiasis, first-line therapy is topical antifungal treatment...
...with nystatin oral suspension being the most commonly recommended initial agent.",3,2
"Although clotrimazole troches are also an effective topical option, they rely on adequate salivary flow to dissolve properly and distribute the medication across the oral mucosa.
In patients with severe xerostomia, troches may not dissolve effectively, resulting in suboptimal drug delivery and reduced efficacy.
Therefore, a liquid suspension that can be actively swished to coat the mucosa is preferred in this clinical setting.
Systemic azoles (e.g., fluconazole) are reserved for refractory or severe cases.
What is the mechanism of action of nystatin? ",0Irreversibly binds to bacterial ?-lactamase enzymes ,"1Binds to ergosterol component of the cell membrane of sensitive fungal cells, altering membrane permeability","0Inhibits fusion of host cell with the herpes viral envelope, preventing viral replication",0Prevents generation and conduction of nerve impulses via Na+ channel blockade ,"Nystatin, a polyene antifungal medication, produces its effect by binding to ergosterol component of the cell membrane of sensitive fungal cells...
...leading to alteration of fungal cell membrane permeability.",3,3
"One notable adverse effect of nystatin is a bitter, foul taste.  ",1True,0False,0-,0-,,3,4
You conduct a smear test on this patient. Which of the following statements is TRUE regarding the use of a cytology test for diagnosing the suspected condition in this patient?,"0A smear test involves scraping the lesion, smearing it on a slide, and using a Gram stain to detect bacterial overgrowth.",1A smear test can detect the presence of fungal hyphae.,"0A smear test is only indicated when a patient has chronic, non-wipeable oral lesions.",0A smear test requires a full-thickness biopsy to confirm the presence of yeast organism.,"Exfoliative cytology (smear test) involves scraping the lesion and staining (commonly PAS) to identify fungal hyphae or pseudohyphae, supporting a diagnosis of candidiasis.
It does not require a biopsy, is not limited to non-wipeable lesions, and is not used to detect bacterial overgrowth via Gram stain.",3,5
I appreciate your help. Do you know what the diagnosis would be for me? What medication would you suggest?,1Absolutely!,1I'm pretty sure I know,1I'm not quite sure...,1I have no idea.,,3,6
"Hello, I am Jessica, I am a 56 year old female!
My gums burn, get red and peel off easily.  What could be causing this issue?
You suspect mucous membrane pemphigoid. Based on the pathogenesis of this condition, which of the following statements is TRUE? ","0This condition is primarily due to autoantibodies targeting desmosomal proteins, leading to intraepithelial acantholysis. ","1The disease process affects mucosal surfaces such as the mouth, eyes, and anogenital region.","0Because this condition does not typically involve the skin, it is classified as a localized, self-limiting disorder that does not require systemic therapy. ","0This condition is best managed conservatively with topical steroids, as systemic therapy is rarely needed due to its self-limiting nature. ","MMP is a subepithelial autoimmune disease that commonly inolves, oral, ocular, and other mucosa, not just the mouth.",4,1
"The systemic nature of this condition, which of the following complications poses the GREATEST long-term risk if left untreated? ",0Progression to full-thickness oral mucosal necrosis with secondary bacterial superinfection.,"1Fibrosis and scarring of the ocular mucosa, potentially leading to symblepharon and blindness.","0Cutaneous, pruritic, plaque-type lesions on the flexor areas of the skin. ",0Chronic inflammation of the oral mucosa leading to secondary dysplasia.,"Untreated disease can cause progressive scarring of the conjuctiva, leading to symblepharon and vision loss.",4,2
Which initial treatment approach is advisable for a mild manifestation of this disease on the gingivae? ,0Intravenous immunoglobulin. ,1Topical corticosteroids using a custom-made tray. ,0Long-term use of high-dose systemic steroids. ,0Systemic antiviral medications. ,"Mild, localized gigival disease is first managed with topical steroids, often using trays for better contact.",4,3
Management by a dental specialist alone is sufficient for this condition. ,0True,1False,0-,0-,"This is a multisystem disease, so interprofessional management (e.g., opthalmology, ENT, Dermatology) is often requried.",4,4
"Doxycycline is reserved for severe cases of this condition, whereas mild to moderate disease may require Rituximab.  ",0True,1False,0-,0-,"Doxycycline is used in mild/moderate cases, while rituximab is reserved for severe/refractory disease (not the reverse).",4,5
"Hello, I am Alex, I am a 27 year old male!
These ulcers inside my mouth are painful and I don't know why they keep showing up.
Given the differential diagnosis of recurrent aphthous stomatitis (RAS), which of the following is the MOST likely subtype in this patient?",0Major RAS  ,0Herpetiform RAS,1Mild RAS,0-,"Most common type = small, shallow, self-limited ulcers without scarring.",5,1
What is the most appropriate initial management strategy for this patient's condition? ,1OrabaseTM ,0Valacyclovir (Valtrex) caplets 500 mg,0Penciclovir (Denavir) cream 1% ,0Prednisone tablets 10 mg,Initial management is topicla protective/anti-inflammatory therapy for symptom relief.,5,2
Which of the following tests would be most appropriate to include in your plan? ,0Patch testing  ,0Smear (fungal) testing ,0Indirect immunofluorescence  ,1Complete blood count and Vitamin B12 levels,"Hematinic deficiencies can be linked to intraoral ulcerations, so labs help rule out systemic causes.",5,3
Systemic therapy should be initiated in all cases of recurrent aphthous stomatitis to prevent progression to major aphthae.,0True,1False,0-,0-,Most cases are limited and do NOT require systemic therapy,5,4
Recurrent aphthous stomatitis (RAS) is a variant of herpes simplex virus infection and should be explained to patients as a type of oral herpes to help them understand the condition.   ,0True,1False,0-,0-,RAS is NOT caused by HSV; it is a non-infectious inflammatory condition.,5,5
"Hello, I am Cody, I am a 45 year old male!
This ulcer on the side of my tongue just won't heal.  Its been at least 3 months and it is still really painful.
Which of the following is an appropriate first step in managing this patient's condition? ",0Immediate start of chemotherapy   ,0HPeriodically follow-up with the patient to determine the need for further evaluation.,1Performing a biopsy or providing immediate referral to a specialist.,0Prescription of antibiotics ,Any persistent ulcer (> 2 weeks) that is clically worrisome requires biopsy to rule out malignancy.,6,1
Which of the following should be included HIGHEST in your differential diagnosis? ,0Benign keratosis,1Oral squamous cell carcinoma (SCC),0Traumatic ulcerative granuloma with stromal eosinophilia  ,0Fibroma ,"Given the clincal manifestations of an induracted, non-healing ulceration and the extraoral findings of an ipsilateral firm, fixed, lymph node, malignancy should be on the top of our mind until proven otherwise.",6,2
Which of the following findings would most likely increase the suspicion of malignancy in a non-healing ulcer?,0A lesion smaller than 1 cm in size   ,"0Smooth, rounded edges of the ulcer  ",0A lesion that disappears.  ,1Paresthesia of the tongue around the lesion,Nerve involvement (numbness) is a red flag for malignancy.,6,3
"In this patient, the presence of a firm, fixed, ipsilateral lymph node is concerning of a benign immune reaction rather than a sign of advanced disease. ",0True,1False,0-,0-,"A firm, fixed lymph node suggests possible metastatic disease, not a bening reaction.",6,4
